product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Eco Garden Item 1,Garden,212.50,149.06,1482,148
2,Smart Toys Item 2,Toys,52.31,29.40,123,12
3,Deluxe Toys Item 3,Toys,420.55,205.83,661,66
4,Pro Home Item 4,Home,57.18,35.95,1232,123
5,Ultra Beauty Item 5,Beauty,44.15,30.58,694,69
6,Eco Toys Item 6,Toys,198.36,126.32,1412,141
7,Deluxe Beauty Item 7,Beauty,224.59,88.00,559,55
8,Pro Clothing Item 8,Clothing,498.69,339.97,1254,125
9,Smart Home Item 9,Home,270.51,185.78,147,14
10,Essential Electronics Item 10,Electronics,88.43,38.46,1299,129
11,Smart Beauty Item 11,Beauty,94.56,50.15,829,82
12,Smart Beauty Item 12,Beauty,417.85,194.72,737,73
13,Eco Electronics Item 13,Electronics,253.11,121.30,1117,111
14,Deluxe Beauty Item 14,Beauty,259.56,176.07,1954,195
15,Classic Electronics Item 15,Electronics,288.99,136.51,1196,119
16,Deluxe Garden Item 16,Garden,266.40,195.55,1194,119
17,Deluxe Books Item 17,Books,322.04,182.88,1832,183
18,Eco Books Item 18,Books,143.57,50.31,89,8
19,Eco Home Item 19,Home,197.14,128.61,81,8
20,Deluxe Beauty Item 20,Beauty,157.20,76.74,1328,132
21,Pro Home Item 21,Home,488.07,273.59,1274,127
22,Ultra Electronics Item 22,Electronics,457.80,305.84,1027,102
23,Classic Garden Item 23,Garden,101.03,56.91,1844,184
24,Essential Clothing Item 24,Clothing,118.76,49.30,1197,119
25,Ultra Sports Item 25,Sports,105.40,53.22,1866,186
26,Classic Garden Item 26,Garden,35.00,14.23,1020,102
27,Essential Home Item 27,Home,120.86,57.17,1454,145
28,Eco Home Item 28,Home,349.59,204.57,222,22
29,Ultra Sports Item 29,Sports,190.01,136.52,296,29
30,Deluxe Beauty Item 30,Beauty,379.77,210.28,542,54
31,Essential Electronics Item 31,Electronics,380.16,197.29,1005,100
32,Ultra Books Item 32,Books,72.88,29.26,1703,170
33,Pro Clothing Item 33,Clothing,373.48,244.68,1894,189
34,Essential Beauty Item 34,Beauty,327.42,155.20,1895,189
35,Pro Beauty Item 35,Beauty,77.13,36.21,844,84
36,Pro Clothing Item 36,Clothing,340.95,128.95,1713,171
37,Pro Clothing Item 37,Clothing,249.90,112.14,997,99
